stu_id,password,name,gender,room
111021205,U205552303,李雅瑜,f,A801
111000219,Z254141412,古心庭,f,A801
111022219,I225044558,陳欣,f,A801
111023003,T235110223,陳淇,f,A801
111061154,C204501307,彭子生,f,A802
111000221,M215325240,洪雅安,f,A802
109072213,V233141320,謝如,f,A802
111034003,K253322206,朱詩珊,f,A802
111031149,V254512310,楊郁妍,f,A803
111080046,X205213544,陳安,f,A803
110062119,B223455445,尤佳娟,f,A803
111000217,A241200107,鄧依甯,f,A803
111011259,L243315155,鄭暐如,f,A804
111000241,I201204150,童耀光,f,A804
111030024,Q202505255,張秉如,f,A804
111072250,A200515312,張郁筑,f,A804
111022151,F254152544,傅新琪,f,B801
111061254,K244322332,藍姿惠,f,B801
111000206,S214003151,柯鈺婷,f,B801
111031113,V215430146,林琬恩,f,B801
109048143,H235130502,謝佳盈,f,B802
111072253,C245343007,胡蘿蔔,f,B802
111082015,W251341339,凌心,f,B802
111033230,S201512221,曾馨穎,f,B802
111081044,H232545556,葉貢丸,f,B803
111081045,I213301217,楊怡蓉,f,B803
111048137,F232532539,曾佩婷,f,B803
111048120,G223004112,許雅盈,f,B803
111023032,F200235207,鐘芳婷,f,B804
111062108,V202414147,孫亮喻,f,B804
111011147,O205225218,石芊涵,f,B804
111021256,S210514448,張秉涵,f,B804
111062258,J243412416,孫靜欣,f,B805
111060057,H201220051,張萱欣,f,B805
111041047,K220325224,謝交大,f,B805
111031204,H233533345,姚貢丸,f,B805
111030039,W231110356,陳佩萱,f,B806
111062106,R244111530,楊子甄,f,B806
111006236,V221334208,王思甄,f,B806
111082018,J202401042,馮淑姍,f,B806
111011220,I222553416,葉宜筑,f,B807
111011100,B254345232,王意婷,f,B807
111000214,H200104334,林交大,f,B807
111061120,K250104340,陳欣珊,f,B807
111031243,J255411116,洪欣儀,f,B808
111020027,A253020100,溫君,f,B808
111082008,F254111052,林青菜,f,B808
111021240,A253311008,洪雅娟,f,B808
111061207,R254041401,蔡牛排,f,B809
111081001,H252002347,彭子萱,f,B809
111062340,R241443348,周玉儒,f,B809
109006121,U225305551,林榮珊,f,B809
111011255,I233043145,郭惠庭,f,B810
111048150,H222525042,詹堉涵,f,B810
111000230,U215020523,陳郁寧,f,B810
111010046,B212422136,黃家婷,f,B810
111033210,S220553224,陳婷,f,B811
111021119,Y204420224,黃芮君,f,B811
111071016,O233122115,徐采翎,f,B811
111071011,B251232318,林亭耘,f,B811
111071033,B223638079,張庭禎,f,B812
111021251,O250001240,陳欣榆,f,B812
111062113,J203544144,鐘亮瑜,f,B812
111071024,D231150308,賴姿穎,f,B812
111011150,V222131541,邱交大,f,C801
111062145,B201504412,李竹科,f,C801
111023006,J211125313,薛亭安,f,C801
109032051,D225503053,曾怡捷,f,C801
111081031,E223012014,林牛排,f,C802
111023011,Y231301454,吳佩璇,f,C802
111061110,B205214455,張惠怡,f,C802
111031117,P220215413,何巧巧,f,C802
110006200,A200140324,林心雯,f,C803
111006248,R215513235,王堉玲,f,C803
110048248,T240045537,陳佩慧,f,C803
111021155,L202032539,鍾暐凡,f,C803
111021149,F205223216,黃禕君,f,C804
111042023,T250331559,王琬茵,f,C804
111032003,O224415134,顏以晞,f,C804
111023054,Q242454040,周秉如,f,C804
111041026,G254245545,鄭巧巧,f,A701
111062214,O221225343,黃惠秀,f,A701
111011146,D214214018,李蘿蔔,f,A701
110072128,O240244555,許宜雯,f,A701
111023005,L250150315,陳竹科,f,A702
111006131,T254404400,韓清華,f,A702
111060003,M225034041,楊詩珊,f,A702
111011240,U205012144,葉米粉,f,A702
111022148,T221155009,張奕晞,f,A703
111062231,G251412311,黃巧巧,f,A703
111080051,O225453352,張庭,f,A703
111062256,X241001022,蔣懷晞,f,A703
111006217,N241241510,吳佩心,f,A704
111011111,D225343048,李珮如,f,A704
111031105,H201205027,王如,f,A704
111033217,R232550134,林婷君,f,A704
111020010,Y241505106,蔡雅雯,f,A705
111010021,L244410417,吳晞,f,A705
111041044,S222353151,石雅寧,f,A705
111072230,S203252326,宋姿慈,f,A705
111081058,S214303512,吳堉婷,f,A706
111062115,P223350053,陳沛甯,f,A706
111033135,I212502425,林儀,f,A706
111061144,J212410544,龔雅娟,f,A706
111048254,D205430326,鍾婷,f,B701
111072248,O255330317,高娟,f,B701
111020049,S223445201,郭佳姍,f,B701
111011143,Y234133341,吳米粉,f,B701
111000231,V242535536,曾怡惠,f,B702
111033205,G234311502,李祐盈,f,B702
111031130,Q225131324,張交大,f,B702
111022233,P210430024,康雅昀,f,B702
111034049,Z242251556,林佳芳,f,B703
111021253,A224332002,李心羽,f,B703
111006255,Z211443319,李敬婷,f,B703
111000154,K212121025,張蕎玲,f,B703
111048229,W214303400,洪韻惠,f,B704
111034030,R233101117,洪庭蓁,f,B704
111062155,N245341306,連雅芸,f,B704
